_time,tipo_aviso,grau_severidade,temperature,humidity,pressure,altitude,windspeed,solarvolt,batvolt
"2024-02-12 14:11:32.575000+00:00,""TM, TM, TM"",""PP, PP, P"",38.29000092,42.20068359,980.8787842,,0.0,6.513227463,5.712991714"
"2024-02-12 14:21:43.484000+00:00,""TM, TM, TM"",""PP, PP, P"",37.72499847,40.79248047,980.6607666,,3.990073919,6.572242737,5.779487133"
"2024-02-12 14:31:57.003000+00:00,""TM, TM, TM"",""PP, PP, P"",37.34000015,41.69091797,980.4443359,,0.0,6.624745369,5.822906017"
"2024-02-12 14:42:07.933000+00:00,""TM, TM, TM"",""PP, PP, P"",37.37000275,40.96240234,980.3289795,,24.60545921,6.611925125,5.797777653"
"2024-02-12 14:52:18.649000+00:00,""TM, TM, TM"",""PP, PP, P"",36.65000153,44.22216797,980.194519,,0.0,6.704314232,5.908205032"
"2024-02-12 15:02:33.973000+00:00,""TM, TM, TM"",""PP, PP, P"",37.72000122,43.25048828,980.0488281,,7.980147839,6.570004463,5.772649765"
"2024-02-12 15:12:45.823000+00:00,""TM, TM, TM"",""PP, PP, P"",37.11000061,45.81689453,979.9510498,,0.0,6.413919449,5.623846054"
"2024-02-12 15:22:57.567000+00:00,""TM, TM, TM"",""PP, PP, P"",37.15499878,45.40576172,979.9002686,,3.990073919,6.546805382,5.73222208"
"2024-02-12 15:33:11.469000+00:00,""TM, TM, TM"",""PP, PP, P"",36.76000214,43.76904297,979.7661133,,13.30024719,6.540496349,5.738461494"
"2024-02-12 15:43:22.498000+00:00,""TM, TM, TM"",""PP, PP, P"",36.49500275,44.42724609,979.5401611,,3.990073919,6.549043655,5.75256443"
"2024-02-12 15:53:33.023000+00:00,""TM, TM, TM"",""PP, PP, P"",35.73500061,45.51123047,979.482666,,17.95533371,5.939967155,5.300769329"
"2024-02-12 16:03:44.762000+00:00,""TM, TM, TM"",""PP, PP, P"",33.52999878,50.32470703,979.4847412,,0.0,5.325193405,4.823589802"
"2024-02-12 16:13:55.197000+00:00,""TM, TM, TM"",""PP, PP, P"",32.81500244,51.47802734,979.5804443,,0.0,5.282865524,4.823845863"
"2024-02-12 16:24:05.343000+00:00,""TM, TM, TM"",""PP, PP, P"",32.41000366,53.8125,979.5379639,,3.990073919,5.268009663,4.823760986"
"2024-02-12 16:34:18.991000+00:00,""TM, TM, TM"",""PP, PP, P"",32.17499924,54.71630859,979.3586426,,0.0,5.224460602,4.82290554"
"2024-02-12 16:44:29.704000+00:00,""TM, TM, TM"",""PP, PP, P"",32.23000336,54.23681641,979.2163086,,0.0,5.260887146,4.824017048"
"2024-02-12 16:54:40.516000+00:00,""TM, TM, TM"",""PP, PP, P"",32.43499756,51.43017578,979.3991699,,3.325061798,5.311355591,4.825640678"
"2024-02-12 17:04:54.533000+00:00,""TM, TM, TM"",""PP, PP, P"",32.93500137,49.93994141,979.74823,,0.0,5.327431679,4.82683754"
"2024-02-12 17:15:05.354000+00:00,""TM, TM, TM"",""PP, PP, P"",32.75,49.45996094,979.8239136,,0.0,5.325193405,4.824530125"
"2024-02-12 17:25:15.983000+00:00,""TM, TM, TM"",""PP, PP, P"",32.45999908,49.125,979.8599854,,0.0,5.248066902,4.823589802"
"2024-02-12 17:35:29.160000+00:00,""TM, TM, TM"",""PP, PP, P"",31.35000038,58.39697266,980.0939941,,3.990073919,5.21082592,4.822136879"
"2024-02-12 17:45:38.848000+00:00,""TM, TM, TM"",""PP, PP, P"",27.55500031,83.34423828,980.3648682,,0.0,5.177452087,4.820512772"
"2024-02-12 17:55:48.771000+00:00,""TM, TM, TM"",""PP, PP, P"",25.97499847,88.31787109,980.8624268,,45.88585281,5.225681305,4.822222233"
"2024-02-12 18:06:01.832000+00:00,""TM, TM, TM"",""PP, PP, P"",25.15000153,93.78808594,980.4525146,,36.57567978,5.108872414,4.820085526"
"2024-02-12 18:16:12.454000+00:00,""TM, TM, TM"",""PP, PP, P"",25.11000061,91.53710938,980.4481201,,31.2555809,5.148962021,4.818632126"
"2024-02-12 18:26:23.266000+00:00,""TM, TM, TM"",""PP, PP, P"",26.25,79.02539063,980.6907959,,15.96029568,4.386243343,4.817350388"
"2024-02-12 18:36:37.779000+00:00,""TM, TM, TM"",""PP, PP, P"",26.70000076,76.67822266,980.9047852,,19.28535843,3.586691141,4.81572628"
