_time,tipos_aviso,graus_severidade,temperature,humidity,pressure,altitude,windspeed,solarvolt,batvolt
"2024-02-11 15:03:58.957000+00:00,""TM"",""PP"",35.33000183,50.25634766,983.6566772,,0.0,6.682947159,5.900341988"
"2024-02-11 15:14:10.799000+00:00,""TM"",""PP"",35.62999725,48.13427734,983.6057739,,0.0,6.598697662,5.794700623"
"2024-02-11 15:24:38.355000+00:00,""TM"",""PP"",34.99499893,49.54882813,983.5275269,,0.0,6.639601231,5.848546982"
"2024-02-11 15:34:52.101000+00:00,""TM"",""PP"",35.15000153,51.4296875,983.4206543,,7.980147839,6.666870117,5.8757267"
"2024-02-11 15:45:02.720000+00:00,""TM"",""PP"",34.32500076,54.86376953,983.3430176,,0.0,6.758038044,5.974615097"
"2024-02-11 15:55:14.059000+00:00,""TM"",""PP"",33.84000015,54.27294922,983.2785645,,3.990073919,6.800162792,6.029829025"
"2024-02-11 16:05:27.920000+00:00,""TM"",""PP"",33.90999985,53.82177734,983.1731567,,23.27543259,6.68966198,5.926495552"
"2024-02-11 16:15:39.026000+00:00,""TM"",""PP"",33.29999924,54.71972656,983.1162109,,16.62530899,6.799145699,6.032906055"
"2024-02-11 16:25:49.841000+00:00,""TM"",""PP"",33.56000137,56.12451172,982.9316406,,11.30521011,6.766992569,5.980171204"
"2024-02-11 16:36:03.594000+00:00,""TM"",""PP"",33.48999786,56.93457031,982.8862305,,0.0,6.717338085,5.94145298"
"2024-02-11 16:46:14.756000+00:00,""TM"",""PP"",33.60500336,55.96191406,982.8125,,0.0,6.680504799,5.894957542"
"2024-02-11 16:56:25.638000+00:00,""TM"",""PP"",33.75,55.71875,982.8157959,,0.0,6.606430531,5.824529648"
"2024-02-11 17:06:39.255000+00:00,""TM"",""PP"",33.125,57.60351563,982.7722168,,3.325061798,6.673789024,5.883589745"
"2024-02-11 17:16:50.095000+00:00,""TM"",""PP"",32.47000122,59.12744141,982.7694702,,2.6600492,6.663817406,5.901367188"
"2024-02-11 17:27:00.804000+00:00,""TM"",""PP"",32.84500122,60.20898438,982.7252197,,0.0,6.530932426,5.771795273"
"2024-02-11 17:37:14.620000+00:00,""TM"",""PP"",32.25,62.09326172,982.6999512,,0.0,6.572853088,5.803674698"
"2024-02-11 17:47:25.018000+00:00,""TM"",""PP"",31.88000107,62.24804688,982.6856689,,0.0,6.044566631,5.331110954"
"2024-02-11 17:57:36.017000+00:00,""TM"",""PP"",31.55500031,63.96679688,982.7330322,,0.0,5.517297745,4.846495628"
"2024-02-11 18:07:49.534000+00:00,""TM"",""PP"",31.0,64.53173828,982.6720581,,25.93548203,5.484127045,4.838205338"
"2024-02-11 18:18:00.293000+00:00,""TM"",""PP"",30.49000168,66.42822266,982.6751709,,0.0,5.470695972,4.832478523"
"2024-02-11 18:28:10.585000+00:00,""TM"",""PP"",30.0,68.54980469,982.763916,,7.980147839,5.419617653,4.829230785"
"2024-02-11 18:38:23.771000+00:00,""TM"",""PP"",29.58499908,69.96923828,982.8482666,,11.97022343,5.349816799,4.825726509"
"2024-02-11 18:48:33.768000+00:00,""TM"",""PP"",29.17000008,70.49902344,982.8384399,,3.325061798,5.096458912,4.820598602"
"2024-02-11 18:58:43.849000+00:00,""TM"",""PP"",28.91999817,70.36962891,983.0092773,,7.980147839,4.3481884,4.819145203"
"2024-02-11 19:08:57.034000+00:00,""TM"",""PP"",28.68000031,71.69140625,983.2449951,,17.95533371,3.244403839,4.816068649"
"2024-02-11 19:19:07.655000+00:00,""TM"",""PP"",28.65500069,71.05615234,983.4478149,,12.63523483,1.631461143,4.814957142"
"2024-02-11 19:29:18.262000+00:00,""TM"",""PP"",29.29999924,66.75390625,983.5898438,,11.30521011,0.066951565,4.814016819"
"2024-02-11 19:39:32.061000+00:00,""TM"",""PP"",28.54500008,72.71826172,983.7092285,,0.0,0.0,4.812307358"
"2024-02-11 19:59:54.530000+00:00,""TM"",""PP"",29.61999893,63.23388672,983.7214355,,0.0,0.0,4.809828758"
"2024-02-11 20:10:09.474000+00:00,""TM"",""PP"",29.69499969,61.68945313,983.789917,,0.0,0.0,4.810427666"
"2024-02-11 20:20:20.472000+00:00,""TM"",""PP"",29.79000092,62.71826172,983.8466797,,0.0,0.0,4.809230804"
