_time,tipo_aviso,grau_severidade,temperature,humidity,pressure,altitude,windspeed,solarvolt,batvolt
"2024-02-10 16:37:11.459000+00:00,""TM"",""PP"",30.31500053,70.3984375,984.1956177,,22.61042023,6.902523041,6.171794891"
"2024-02-10 16:47:22.039000+00:00,""TM"",""PP"",29.98999977,70.90185547,984.0213623,,75.14640808,6.933048248,6.194273472"
"2024-02-10 16:57:33.129000+00:00,""TM"",""PP"",29.88999939,71.22070313,983.9674683,,23.94044685,6.873829842,6.129401207"
"2024-02-10 17:07:47.353000+00:00,""TM"",""PP"",29.56999969,72.62939453,983.9781494,,44.55583191,6.881969452,6.141452789"
"2024-02-10 17:17:58.067000+00:00,""TM"",""PP"",29.42499924,72.95507813,983.8466797,,29.26054382,6.81644249,6.083333015"
"2024-02-10 17:28:09.081000+00:00,""TM"",""PP"",29.30500031,74.23974609,983.8513184,,31.25558281,6.750305176,6.005897522"
"2024-02-10 17:38:23.046000+00:00,""TM"",""PP"",28.97500038,74.44628906,983.8095703,,103.0769196,6.714082241,5.997692108"
"2024-02-10 17:48:34.122000+00:00,""TM"",""PP"",28.79000092,75.30810547,983.8070068,,40.56575394,6.119047642,5.431025505"
"2024-02-10 17:58:44.030000+00:00,""TM"",""PP"",28.38999939,76.95751953,983.8153076,,64.50619507,5.349816799,4.826068878"
"2024-02-10 18:08:57.217000+00:00,""TM"",""PP"",27.93500137,79.34375,983.7668457,,29.92555618,5.281643867,4.822478294"
"2024-02-10 18:19:07.629000+00:00,""TM"",""PP"",27.75,79.95556641,983.6829834,,41.89577866,5.20024395,4.820256233"
"2024-02-10 18:29:18.150000+00:00,""TM"",""PP"",27.62000084,79.61425781,983.6517334,,25.93548203,5.192511082,4.818034172"
"2024-02-10 18:39:31.449000+00:00,""TM"",""PP"",27.43499947,79.37402344,983.755127,,43.22580338,5.140211582,4.81820488"
"2024-02-10 18:49:42.352000+00:00,""TM"",""PP"",27.30500031,79.47998047,983.8585205,,30.59056854,4.666462898,4.817264557"
"2024-02-10 18:59:53.070000+00:00,""TM"",""PP"",27.11000061,80.32617188,983.9962158,,59.85111237,3.351037979,4.814786434"
"2024-02-10 19:10:07.894000+00:00,""TM"",""PP"",27.04000092,80.58203125,984.260498,,34.5806427,1.97863245,4.813675404"
"2024-02-10 19:20:18.629000+00:00,""TM"",""PP"",27.02499962,80.31054688,984.4645386,,11.30521011,1.301994324,4.814188004"
"2024-02-10 19:30:29.348000+00:00,""TM"",""PP"",26.88500023,80.9765625,984.5620117,,6.650123596,0.038868539,4.813162327"
"2024-02-10 19:40:43.355000+00:00,""TM"",""PP"",26.81999969,81.33398438,984.7639771,,13.30024719,0.0,4.810854912"
"2024-02-10 19:50:54.145000+00:00,""TM"",""PP"",26.71500015,81.62255859,984.8388672,,13.96526051,0.0,4.807350159"
"2024-02-10 20:01:04.883000+00:00,""TM"",""PP"",26.56999969,82.13916016,984.9326172,,19.28535843,0.0,4.809401512"
"2024-02-10 20:11:18.498000+00:00,""TM"",""PP"",26.38000107,83.17871094,985.1140747,,5.985111713,0.0,4.807179451"
"2024-02-10 20:21:29.308000+00:00,""TM"",""PP"",26.21999931,83.70947266,985.2255859,,32.58560562,0.0,4.807265282"
"2024-02-10 20:31:41.106000+00:00,""TM"",""PP"",26.34000015,82.70019531,985.3526611,,16.62530899,0.0,4.805983067"
"2024-02-10 20:41:55.051000+00:00,""TM"",""PP"",26.33499908,82.17431641,985.4855957,,3.325061798,0.0,4.805811882"
"2024-02-10 20:52:05.863000+00:00,""TM"",""PP"",26.36000061,81.29492188,985.5414429,,13.30024815,0.0,4.806324959"
"2024-02-10 21:12:35.017000+00:00,""TM"",""PP"",26.47000122,79.35058594,985.7138672,,25.93548203,0.0,4.804700851"
"2024-02-10 21:22:46.009000+00:00,""TM"",""PP"",26.55999947,78.21337891,985.861145,,17.29032135,0.0,4.803162575"
"2024-02-10 21:32:56.731000+00:00,""TM"",""PP"",26.63000107,77.55126953,985.9848022,,0.0,0.0,4.802734852"
